

      0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30 
   ----------------------------------------------------------------------------------------------------------------------------
  0| 13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13 
  1| 13  10  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13 
  2| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13 
  3| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13 
  4| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13 
  5| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13 
  6| 13  11  13  13  13  13  13  13  13  13  13  13  11  11  11  11  13  11  11  11  13  11  11  11  13  11  11  11  13  13  13 
  7| 13  11  13  13  13  13  13  13  13  13  13  13  11  11  13  11  11  11  13  11  11  11  13  11  11  11  13  11  11  11  13 
  8| 13  11  13  13  13  13  13  13  13  13  13  13  11  99  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  11  13 
  9| 13  11  13  13  13  13  13  13  13  13  13  13  11  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  11  13 
 10| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  11  13 
 11| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  11  13 
 12| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  11  13 
 13| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  11  13 
 14| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  11  13 
 15| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  11  13 
 16| 13  11  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  11  13 
 17| 13  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  11  13 
 18| 13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13  13 
